VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,3/30/2015 22:40,3/30/2015 22:44,1,0.7,-73.97981262,40.7547493,1,N,-73.98177338,40.74662781,1,5,0.5,0.5,1,0,0.3,7.3
1,3/30/2015 22:40,3/30/2015 22:47,1,1.6,-73.98188782,40.7574501,1,N,-73.96264648,40.76521683,2,7,0.5,0.5,0,0,0.3,8.3
1,3/30/2015 22:40,3/30/2015 23:13,1,7,-73.92131805,40.7056694,1,N,-73.99323273,40.74629593,1,26.5,0.5,0.5,6.95,0,0.3,34.75
1,3/30/2015 22:40,3/30/2015 22:48,1,1.4,-73.98522949,40.75993729,1,N,-73.97866821,40.74555206,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,3/30/2015 22:40,3/30/2015 22:54,1,2.2,-73.98448944,40.75936508,1,N,-73.95822144,40.76195145,2,10.5,0.5,0.5,0,0,0.3,11.8
1,3/30/2015 22:40,3/30/2015 22:48,2,1.4,-73.99436188,40.72864151,1,N,-73.97763062,40.73535538,2,7,0.5,0.5,0,0,0.3,8.3
1,3/30/2015 22:40,3/30/2015 22:49,1,5.3,-74.00067139,40.70833206,1,N,-73.96077728,40.76147079,2,16,0.5,0.5,0,0,0.3,17.3
1,3/30/2015 22:40,3/30/2015 22:44,1,0.6,-73.98845673,40.68994141,1,N,-73.99560547,40.68772888,1,4.5,0.5,0.5,1.45,0,0.3,7.25
1,3/30/2015 22:40,3/30/2015 22:59,1,9.2,-74.01013947,40.72080994,1,N,-73.95506287,40.777565,1,27,0.5,0.5,5.65,0,0.3,33.95
1,3/30/2015 22:40,3/30/2015 22:51,1,2,-73.95614624,40.78152847,1,N,-73.95919037,40.80163956,1,10,0.5,0.5,2.25,0,0.3,13.55
1,3/30/2015 22:40,3/30/2015 22:54,1,1,-73.97241974,40.7559433,1,N,-73.98550415,40.76153946,2,9.5,0.5,0.5,0,0,0.3,10.8
1,3/30/2015 22:40,3/30/2015 22:46,1,1.5,-73.99406433,40.72105789,1,N,-74.01068878,40.71608734,1,6.5,0.5,0.5,1.5,0,0.3,9.3
1,3/30/2015 22:40,3/30/2015 22:42,1,0.5,-73.98034668,40.75049973,1,N,-73.98776245,40.74856949,2,4,0.5,0.5,0,0,0.3,5.3
1,3/30/2015 22:40,3/30/2015 22:52,1,2.1,-73.99173737,40.72612762,1,N,-73.97107697,40.74803162,1,10,0.5,0.5,1,0,0.3,12.3
1,3/30/2015 22:40,3/30/2015 22:44,1,0.9,-73.97627258,40.78112411,1,N,-73.98403168,40.7699852,1,5,0.5,0.5,1.55,0,0.3,7.85
